reference	damage_model_pmax	damage_model_p	coverage	nb_reads_aligned	qvalue
k39_5676	0.5	0.99	5.669	33	0.046
k39_4355	0.4	0.99	4.56	13	0.031
k39_3852	0.333	0.99	3.668	255	0.043
k39_8610	0.154	0.99	9.521	46	0.038
k39_1976	0.1	0.99	21.327	67	0.049
k39_11387	0.095	0.271	62.725	428	0.0
k39_5298	0.095	0.99	16.266	82	0.03
k39_9872	0.091	0.99	29.449	110	0.004
k39_2998	0.082	0.99	29.701	262	0.011
k39_6802	0.074	0.385	32.711	120	0.003
k39_6836	0.073	0.378	19.195	128	0.013
k39_1695	0.073	0.568	26.209	71	0.044
k39_4980	0.07	0.99	27.25	200	0.027
k39_1310	0.067	0.99	16.4	109	0.043
k39_10705	0.06	0.99	76.282	347	0.0
k39_11003	0.06	0.99	41.002	165	0.013
k39_448	0.053	0.7	451.972	2685	0.0
k39_6169	0.051	0.99	34.96	243	0.0
k39_11714	0.05	0.99	32.346	164	0.003
k39_4909	0.044	0.589	62.109	443	0.003
k39_4539	0.044	0.232	212.158	721	0.012
k39_1338	0.043	0.096	350.162	2822	0.0
k39_12970	0.041	0.99	31.12	121	0.043
k39_8959	0.039	0.548	33.524	224	0.005
k39_4118	0.037	0.99	36.906	387	0.0
k39_6349	0.031	0.944	145.82	1642	0.0
k39_1262	0.03	0.99	110.564	652	0.001
k39_9383	0.03	0.99	37.864	343	0.004
k39_1895	0.03	0.99	122.06	491	0.008
k39_1442	0.028	0.99	65.74	408	0.011
k39_4308	0.027	0.99	182.81	1223	0.002
k39_12419	0.027	0.094	502.526	3123	0.002
k39_3035	0.025	0.99	115.884	782	0.0
k39_4483	0.023	0.866	370.635	1877	0.0
k39_11345	0.023	0.908	98.327	1442	0.0
k39_519	0.023	0.99	225.527	672	0.01
k39_10028	0.022	0.906	165.703	2512	0.0
k39_11072	0.022	0.99	105.374	799	0.0
k39_9616	0.022	0.916	154.324	2584	0.0
k39_8632	0.022	0.946	180.646	3510	0.0
k39_964	0.021	0.894	153.928	3680	0.0
k39_5641	0.021	0.685	144.976	632	0.006
k39_426	0.021	0.657	317.168	2195	0.0
k39_7865	0.021	0.891	99.211	1847	0.0
k39_6853	0.021	0.99	120.496	492	0.006
k39_5114	0.021	0.99	140.181	910	0.0
k39_11808	0.021	0.921	233.549	1734	0.0
k39_13098	0.021	0.612	84.143	273	0.044
k39_8360	0.019	0.518	213.932	3550	0.0
k39_6490	0.019	0.917	124.03	2899	0.0
k39_5720	0.019	0.748	124.571	650	0.005
k39_5985	0.019	0.766	162.518	743	0.006
k39_6294	0.019	0.99	62.403	977	0.0
k39_7705	0.019	0.764	88.591	618	0.006
k39_157	0.019	0.139	292.441	1051	0.0
k39_5254	0.019	0.99	171.883	1547	0.0
k39_13067	0.018	0.99	533.192	5315	0.0
k39_8421	0.018	0.989	305.213	5058	0.0
k39_7850	0.018	0.902	96.783	1234	0.0
k39_10164	0.018	0.99	198.537	917	0.007
k39_11533	0.018	0.808	167.365	811	0.022
k39_11628	0.018	0.287	115.213	469	0.046
k39_1130	0.017	0.945	192.876	3192	0.0
k39_8189	0.017	0.99	139.006	615	0.048
k39_11787	0.017	0.883	85.638	4462	0.0
k39_9141	0.017	0.99	154.642	4200	0.0
k39_12898	0.017	0.987	67.769	3593	0.0
k39_1457	0.017	0.891	154.77	3343	0.0
k39_11277	0.017	0.798	136.798	5785	0.0
k39_5766	0.016	0.851	98.81	4087	0.0
k39_2481	0.016	0.959	111.279	4745	0.0
k39_7601	0.016	0.989	135.042	3958	0.0
k39_5738	0.016	0.936	110.894	6958	0.0
k39_5405	0.016	0.91	137.722	15228	0.0
k39_8438	0.016	0.868	110.978	3996	0.0
k39_1409	0.016	0.902	138.09	3174	0.0
k39_10502	0.016	0.99	83.144	1934	0.0
k39_11965	0.016	0.85	88.46	1282	0.0
k39_7595	0.016	0.911	183.758	2096	0.0
k39_9554	0.016	0.943	143.717	4502	0.0
k39_1918	0.016	0.901	134.791	4496	0.0
k39_1155	0.016	0.569	76.484	1485	0.002
k39_2001	0.016	0.913	172.773	12484	0.0
k39_11988	0.016	0.953	112.497	12145	0.0
k39_9558	0.016	0.946	129.755	10714	0.0
k39_10276	0.016	0.984	126.385	14808	0.0
k39_1628	0.015	0.99	356.003	4588	0.0
k39_11632	0.015	0.99	160.848	5996	0.0
k39_5165	0.015	0.99	167.552	1875	0.0
k39_8173	0.015	0.928	116.501	2012	0.0
k39_12976	0.015	0.827	164.643	16708	0.0
k39_4866	0.015	0.935	143.026	10823	0.0
k39_4818	0.015	0.927	122.461	15353	0.0
k39_7579	0.015	0.99	169.275	4867	0.0
